method,param_set,start_point,params,iterations,f(x)
Momentum,0,0,"{'lr': 0.001, 'beta': 0.7}",153,6.559645375627877
Momentum,0,1,"{'lr': 0.001, 'beta': 0.7}",164,5.381864187490191
Momentum,0,2,"{'lr': 0.001, 'beta': 0.7}",176,4.884065258091152
Momentum,0,3,"{'lr': 0.001, 'beta': 0.7}",176,4.884065258091152
Momentum,0,4,"{'lr': 0.001, 'beta': 0.7}",164,5.381864187490191
Momentum,0,5,"{'lr': 0.001, 'beta': 0.7}",153,6.559645375627877
Momentum,1,0,"{'lr': 0.003, 'beta': 0.9}",350,6.5596453756278805
Momentum,1,1,"{'lr': 0.003, 'beta': 0.9}",408,5.381864187490191
Momentum,1,2,"{'lr': 0.003, 'beta': 0.9}",100000,0.011365291581224568
Momentum,1,3,"{'lr': 0.003, 'beta': 0.9}",100000,0.011365291581224568
Momentum,1,4,"{'lr': 0.003, 'beta': 0.9}",408,5.381864187490191
Momentum,1,5,"{'lr': 0.003, 'beta': 0.9}",350,6.5596453756278805
Momentum,2,0,"{'lr': 0.005, 'beta': 0.95}",100000,0.6398882073987515
Momentum,2,1,"{'lr': 0.005, 'beta': 0.95}",100000,0.08780010948379413
Momentum,2,2,"{'lr': 0.005, 'beta': 0.95}",749,2.5799275570298725
Momentum,2,3,"{'lr': 0.005, 'beta': 0.95}",749,2.5799275570298725
Momentum,2,4,"{'lr': 0.005, 'beta': 0.95}",100000,0.08780010948379413
Momentum,2,5,"{'lr': 0.005, 'beta': 0.95}",100000,0.6398882073987515
Nesterov,0,0,"{'lr': 0.001, 'beta': 0.7}",147,6.559645375627877
Nesterov,0,1,"{'lr': 0.001, 'beta': 0.7}",147,5.381864187490191
Nesterov,0,2,"{'lr': 0.001, 'beta': 0.7}",157,4.884065258091155
Nesterov,0,3,"{'lr': 0.001, 'beta': 0.7}",157,4.884065258091155
Nesterov,0,4,"{'lr': 0.001, 'beta': 0.7}",147,5.381864187490191
Nesterov,0,5,"{'lr': 0.001, 'beta': 0.7}",147,6.559645375627877
Nesterov,1,0,"{'lr': 0.003, 'beta': 0.9}",162,6.559645375627877
Nesterov,1,1,"{'lr': 0.003, 'beta': 0.9}",170,5.381864187490191
Nesterov,1,2,"{'lr': 0.003, 'beta': 0.9}",173,4.884065258091152
Nesterov,1,3,"{'lr': 0.003, 'beta': 0.9}",173,4.884065258091152
Nesterov,1,4,"{'lr': 0.003, 'beta': 0.9}",170,5.381864187490191
Nesterov,1,5,"{'lr': 0.003, 'beta': 0.9}",162,6.559645375627877
Nesterov,2,0,"{'lr': 0.005, 'beta': 0.95}",100000,0.013325179302722034
Nesterov,2,1,"{'lr': 0.005, 'beta': 0.95}",100000,0.013325179302722034
Nesterov,2,2,"{'lr': 0.005, 'beta': 0.95}",100000,0.013325179302722034
Nesterov,2,3,"{'lr': 0.005, 'beta': 0.95}",100000,0.013325179302722034
Nesterov,2,4,"{'lr': 0.005, 'beta': 0.95}",100000,0.013325179302722034
Nesterov,2,5,"{'lr': 0.005, 'beta': 0.95}",100000,0.013325179302722034
AdaGrad,0,0,{'lr': 0.1},38,6.559645375627877
AdaGrad,0,1,{'lr': 0.1},45,5.381864187490191
AdaGrad,0,2,{'lr': 0.1},51,4.884065258091152
AdaGrad,0,3,{'lr': 0.1},51,4.884065258091152
AdaGrad,0,4,{'lr': 0.1},45,5.381864187490191
AdaGrad,0,5,{'lr': 0.1},38,6.559645375627877
AdaGrad,1,0,{'lr': 0.5},257,3.5744518772576797
AdaGrad,1,1,{'lr': 0.5},100000,0.003134070781840137
AdaGrad,1,2,{'lr': 0.5},198,4.884065258091155
AdaGrad,1,3,{'lr': 0.5},198,4.884065258091155
AdaGrad,1,4,{'lr': 0.5},100000,0.003134070781840137
AdaGrad,1,5,{'lr': 0.5},257,3.5744518772576797
AdaGrad,2,0,{'lr': 1.0},100000,0.006223335211672065
AdaGrad,2,1,{'lr': 1.0},100000,0.006223422869965134
AdaGrad,2,2,{'lr': 1.0},100000,0.006223544359297506
AdaGrad,2,3,{'lr': 1.0},100000,0.006223544359297506
AdaGrad,2,4,{'lr': 1.0},100000,0.006223422869965134
AdaGrad,2,5,{'lr': 1.0},100000,0.006223335211672065
RMSProp,0,0,"{'lr': 0.05, 'rho': 0.8}",100000,6.5887338064137175
RMSProp,0,1,"{'lr': 0.05, 'rho': 0.8}",100000,5.413732024286123
RMSProp,0,2,"{'lr': 0.05, 'rho': 0.8}",100000,4.917667374106305
RMSProp,0,3,"{'lr': 0.05, 'rho': 0.8}",100000,4.917667374106305
RMSProp,0,4,"{'lr': 0.05, 'rho': 0.8}",100000,5.413732024286123
RMSProp,0,5,"{'lr': 0.05, 'rho': 0.8}",100000,6.5887338064137175
RMSProp,1,0,"{'lr': 0.1, 'rho': 0.9}",100000,6.700611671713883
RMSProp,1,1,"{'lr': 0.1, 'rho': 0.9}",100000,5.52262599509773
RMSProp,1,2,"{'lr': 0.1, 'rho': 0.9}",100000,5.023080940544329
RMSProp,1,3,"{'lr': 0.1, 'rho': 0.9}",100000,5.023080940544329
RMSProp,1,4,"{'lr': 0.1, 'rho': 0.9}",100000,5.52262599509773
RMSProp,1,5,"{'lr': 0.1, 'rho': 0.9}",100000,6.700611671713883
RMSProp,2,0,"{'lr': 0.3, 'rho': 0.99}",100000,2.3388956036349917
RMSProp,2,1,"{'lr': 0.3, 'rho': 0.99}",100000,2.3388956036349917
RMSProp,2,2,"{'lr': 0.3, 'rho': 0.99}",100000,0.6678480800609314
RMSProp,2,3,"{'lr': 0.3, 'rho': 0.99}",100000,0.6678480800609314
RMSProp,2,4,"{'lr': 0.3, 'rho': 0.99}",100000,2.3388956036349917
RMSProp,2,5,"{'lr': 0.3, 'rho': 0.99}",100000,2.3388956036349917
AdaDelta,0,0,{'rho': 0.9},140,6.559645375627877
AdaDelta,0,1,{'rho': 0.9},149,5.381864187490191
AdaDelta,0,2,{'rho': 0.9},154,4.884065258091155
AdaDelta,0,3,{'rho': 0.9},154,4.884065258091155
AdaDelta,0,4,{'rho': 0.9},149,5.381864187490191
AdaDelta,0,5,{'rho': 0.9},140,6.559645375627877
AdaDelta,1,0,{'rho': 0.99},74,6.5596453756278805
AdaDelta,1,1,{'rho': 0.99},92,5.381864187490191
AdaDelta,1,2,{'rho': 0.99},109,4.884065258091155
AdaDelta,1,3,{'rho': 0.99},109,4.884065258091155
AdaDelta,1,4,{'rho': 0.99},92,5.381864187490191
AdaDelta,1,5,{'rho': 0.99},74,6.5596453756278805
AdaDelta,2,0,{'rho': 0.99995},100000,6.751091640424342
AdaDelta,2,1,{'rho': 0.99995},100000,5.782747111765179
AdaDelta,2,2,{'rho': 0.99995},100000,5.334652884283244
AdaDelta,2,3,{'rho': 0.99995},100000,5.334652884283244
AdaDelta,2,4,{'rho': 0.99995},100000,5.782747111765179
AdaDelta,2,5,{'rho': 0.99995},100000,6.751091640424342
Adam,0,0,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",345,6.559645375627877
Adam,0,1,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",433,5.381864187490191
Adam,0,2,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",418,4.884065258091155
Adam,0,3,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",418,4.884065258091155
