method,param_set,start_point,params,iterations,f(x)
Momentum,0,0,"{'lr': 0.001, 'beta': 0.7}",246,1.4913782820247343e-18
Momentum,0,1,"{'lr': 0.001, 'beta': 0.7}",208,1.4965240233061454e-18
Momentum,0,2,"{'lr': 0.001, 'beta': 0.7}",182,1.8028306648042773e-18
Momentum,0,3,"{'lr': 0.001, 'beta': 0.7}",152,7.262002980933861e-19
Momentum,0,4,"{'lr': 0.001, 'beta': 0.7}",143,2.6463635579441386e-19
Momentum,0,5,"{'lr': 0.001, 'beta': 0.7}",150,7.340207722320921e-21
Momentum,1,0,"{'lr': 0.003, 'beta': 0.9}",413,1.5339536298140092e-18
Momentum,1,1,"{'lr': 0.003, 'beta': 0.9}",415,6.649313836953519e-19
Momentum,1,2,"{'lr': 0.003, 'beta': 0.9}",408,5.121666924017616e-19
Momentum,1,3,"{'lr': 0.003, 'beta': 0.9}",400,3.9202809737835304e-19
Momentum,1,4,"{'lr': 0.003, 'beta': 0.9}",438,4.260961371554215e-19
Momentum,1,5,"{'lr': 0.003, 'beta': 0.9}",422,3.8422430803354545e-19
Momentum,2,0,"{'lr': 0.005, 'beta': 0.95}",824,5.963283617993005e-19
Momentum,2,1,"{'lr': 0.005, 'beta': 0.95}",823,1.6063288995006893e-18
Momentum,2,2,"{'lr': 0.005, 'beta': 0.95}",808,7.208288060791244e-19
Momentum,2,3,"{'lr': 0.005, 'beta': 0.95}",894,3.265229789797582e-19
Momentum,2,4,"{'lr': 0.005, 'beta': 0.95}",823,7.349146762303989e-19
Momentum,2,5,"{'lr': 0.005, 'beta': 0.95}",815,3.4000474008721403e-19
Nesterov,0,0,"{'lr': 0.001, 'beta': 0.7}",275,1.8544023221176015e-18
Nesterov,0,1,"{'lr': 0.001, 'beta': 0.7}",238,1.7647917662116222e-18
Nesterov,0,2,"{'lr': 0.001, 'beta': 0.7}",213,1.8488354346679135e-18
Nesterov,0,3,"{'lr': 0.001, 'beta': 0.7}",124,1.4872391409908758e-19
Nesterov,0,4,"{'lr': 0.001, 'beta': 0.7}",116,3.294833714375256e-19
Nesterov,0,5,"{'lr': 0.001, 'beta': 0.7}",122,5.518937275105945e-19
Nesterov,1,0,"{'lr': 0.003, 'beta': 0.9}",217,1.6801084314688526e-20
Nesterov,1,1,"{'lr': 0.003, 'beta': 0.9}",174,4.1502538628962823e-20
Nesterov,1,2,"{'lr': 0.003, 'beta': 0.9}",216,2.5332790913693657e-19
Nesterov,1,3,"{'lr': 0.003, 'beta': 0.9}",136,4.789639573859598e-19
Nesterov,1,4,"{'lr': 0.003, 'beta': 0.9}",137,4.571700745841641e-19
Nesterov,1,5,"{'lr': 0.003, 'beta': 0.9}",129,2.027686447383232e-20
Nesterov,2,0,"{'lr': 0.005, 'beta': 0.95}",205,6.863472275336401e-19
Nesterov,2,1,"{'lr': 0.005, 'beta': 0.95}",208,1.4228751502119417e-18
Nesterov,2,2,"{'lr': 0.005, 'beta': 0.95}",197,3.914098391549444e-19
Nesterov,2,3,"{'lr': 0.005, 'beta': 0.95}",106,4.688498147084021e-19
Nesterov,2,4,"{'lr': 0.005, 'beta': 0.95}",93,6.045118452655902e-19
Nesterov,2,5,"{'lr': 0.005, 'beta': 0.95}",97,1.5051471284409767e-20
AdaGrad,0,0,{'lr': 0.1},978,1.783715049857511e-18
AdaGrad,0,1,{'lr': 0.1},1911,1.556953266019562e-18
AdaGrad,0,2,{'lr': 0.1},2860,1.6643554278159496e-18
AdaGrad,0,3,{'lr': 0.1},1863,6.067045621100421e-19
AdaGrad,0,4,{'lr': 0.1},1772,6.088991386562128e-19
AdaGrad,0,5,{'lr': 0.1},1627,6.144569687544524e-19
AdaGrad,1,0,{'lr': 0.5},50,6.791873645095813e-19
AdaGrad,1,1,{'lr': 0.5},93,1.0831627012244466e-18
AdaGrad,1,2,{'lr': 0.5},130,1.6508562354289313e-18
AdaGrad,1,3,{'lr': 0.5},76,3.914945941915299e-19
AdaGrad,1,4,{'lr': 0.5},71,3.800350767074656e-19
AdaGrad,1,5,{'lr': 0.5},63,5.680306172744751e-19
AdaGrad,2,0,{'lr': 1.0},72,5.986382922450186e-19
AdaGrad,2,1,{'lr': 1.0},34,2.0704321730668265e-19
AdaGrad,2,2,{'lr': 1.0},32,1.3466049482315278e-18
AdaGrad,2,3,{'lr': 1.0},54,3.34240670020364e-19
AdaGrad,2,4,{'lr': 1.0},34,5.996872047574732e-19
AdaGrad,2,5,{'lr': 1.0},18,6.082862411528628e-19
RMSProp,0,0,"{'lr': 0.05, 'rho': 0.8}",100000,0.04549383103976109
RMSProp,0,1,"{'lr': 0.05, 'rho': 0.8}",100000,0.04699366796024237
RMSProp,0,2,"{'lr': 0.05, 'rho': 0.8}",100000,0.04549383103976214
RMSProp,0,3,"{'lr': 0.05, 'rho': 0.8}",100000,0.04640951506035438
RMSProp,0,4,"{'lr': 0.05, 'rho': 0.8}",100000,0.04607798393964417
RMSProp,0,5,"{'lr': 0.05, 'rho': 0.8}",100000,0.04607798393964482
RMSProp,1,0,"{'lr': 0.1, 'rho': 0.9}",35,2.3334939241991666e-19
RMSProp,1,1,"{'lr': 0.1, 'rho': 0.9}",47,3.7576852094278863e-19
RMSProp,1,2,"{'lr': 0.1, 'rho': 0.9}",55,1.1021885331403213e-19
RMSProp,1,3,"{'lr': 0.1, 'rho': 0.9}",48,2.586611644888315e-19
RMSProp,1,4,"{'lr': 0.1, 'rho': 0.9}",47,1.9979818967024524e-19
RMSProp,1,5,"{'lr': 0.1, 'rho': 0.9}",100000,0.18357408445012488
RMSProp,2,0,"{'lr': 0.3, 'rho': 0.99}",57,7.741076775503643e-19
RMSProp,2,1,"{'lr': 0.3, 'rho': 0.99}",31,6.494262612140773e-19
RMSProp,2,2,"{'lr': 0.3, 'rho': 0.99}",100000,1.4955354567797512
RMSProp,2,3,"{'lr': 0.3, 'rho': 0.99}",100000,1.6926389029621185
RMSProp,2,4,"{'lr': 0.3, 'rho': 0.99}",100000,1.6926389029621363
RMSProp,2,5,"{'lr': 0.3, 'rho': 0.99}",41,3.1337771084593656e-19
AdaDelta,0,0,{'rho': 0.9},100000,1.5559447775054531
AdaDelta,0,1,{'rho': 0.9},500,1.616985495093803e-18
AdaDelta,0,2,{'rho': 0.9},100000,1.8387322686216931
AdaDelta,0,3,{'rho': 0.9},100000,1.6467834620799033
AdaDelta,0,4,{'rho': 0.9},100000,1.6450541629531
AdaDelta,0,5,{'rho': 0.9},100000,1.7185458866742478
AdaDelta,1,0,{'rho': 0.99},873,1.490685819537956e-18
AdaDelta,1,1,{'rho': 0.99},1032,1.2804655841544666e-18
AdaDelta,1,2,{'rho': 0.99},1041,1.5661828807232458e-18
AdaDelta,1,3,{'rho': 0.99},717,5.803539495666599e-19
AdaDelta,1,4,{'rho': 0.99},802,7.607623590209886e-19
AdaDelta,1,5,{'rho': 0.99},556,6.784559863586673e-19
