method,param_set,start_point,params,iterations,f(x)
Momentum,0,0,"{'lr': 0.001, 'beta': 0.7}",100000,
Momentum,0,1,"{'lr': 0.001, 'beta': 0.7}",12867,1.2495470793702158e-16
Momentum,0,2,"{'lr': 0.001, 'beta': 0.7}",13116,1.24958332880283e-16
Momentum,0,3,"{'lr': 0.001, 'beta': 0.7}",12817,1.25078715966093e-16
Momentum,0,4,"{'lr': 0.001, 'beta': 0.7}",12763,1.250663939776889e-16
Momentum,0,5,"{'lr': 0.001, 'beta': 0.7}",100000,
Momentum,1,0,"{'lr': 0.003, 'beta': 0.9}",100000,inf
Momentum,1,1,"{'lr': 0.003, 'beta': 0.9}",100000,
Momentum,1,2,"{'lr': 0.003, 'beta': 0.9}",100000,inf
Momentum,1,3,"{'lr': 0.003, 'beta': 0.9}",100000,
Momentum,1,4,"{'lr': 0.003, 'beta': 0.9}",100000,
Momentum,1,5,"{'lr': 0.003, 'beta': 0.9}",100000,inf
Momentum,2,0,"{'lr': 0.005, 'beta': 0.95}",100000,inf
Momentum,2,1,"{'lr': 0.005, 'beta': 0.95}",100000,
Momentum,2,2,"{'lr': 0.005, 'beta': 0.95}",100000,
Momentum,2,3,"{'lr': 0.005, 'beta': 0.95}",100000,
Momentum,2,4,"{'lr': 0.005, 'beta': 0.95}",100000,
Momentum,2,5,"{'lr': 0.005, 'beta': 0.95}",100000,inf
Nesterov,0,0,"{'lr': 0.001, 'beta': 0.7}",100000,
Nesterov,0,1,"{'lr': 0.001, 'beta': 0.7}",13016,1.2495558242321139e-16
Nesterov,0,2,"{'lr': 0.001, 'beta': 0.7}",100000,inf
Nesterov,0,3,"{'lr': 0.001, 'beta': 0.7}",12823,1.2503925945704636e-16
Nesterov,0,4,"{'lr': 0.001, 'beta': 0.7}",12069,1.2511388386798033e-16
Nesterov,0,5,"{'lr': 0.001, 'beta': 0.7}",100000,
Nesterov,1,0,"{'lr': 0.003, 'beta': 0.9}",100000,inf
Nesterov,1,1,"{'lr': 0.003, 'beta': 0.9}",100000,
Nesterov,1,2,"{'lr': 0.003, 'beta': 0.9}",100000,
Nesterov,1,3,"{'lr': 0.003, 'beta': 0.9}",100000,
Nesterov,1,4,"{'lr': 0.003, 'beta': 0.9}",100000,
Nesterov,1,5,"{'lr': 0.003, 'beta': 0.9}",100000,inf
Nesterov,2,0,"{'lr': 0.005, 'beta': 0.95}",100000,
Nesterov,2,1,"{'lr': 0.005, 'beta': 0.95}",100000,
Nesterov,2,2,"{'lr': 0.005, 'beta': 0.95}",100000,
Nesterov,2,3,"{'lr': 0.005, 'beta': 0.95}",100000,inf
Nesterov,2,4,"{'lr': 0.005, 'beta': 0.95}",100000,
Nesterov,2,5,"{'lr': 0.005, 'beta': 0.95}",100000,
AdaGrad,0,0,{'lr': 0.1},100000,4.535710588660329
AdaGrad,0,1,{'lr': 0.1},100000,2.2701088431468845e-09
AdaGrad,0,2,{'lr': 0.1},100000,0.0003768435013135701
AdaGrad,0,3,{'lr': 0.1},100000,0.018248727503065863
AdaGrad,0,4,{'lr': 0.1},100000,2.9005164802968138e-09
AdaGrad,0,5,{'lr': 0.1},100000,0.6089024337959168
AdaGrad,1,0,{'lr': 0.5},100000,1.1089095121040017e-06
AdaGrad,1,1,{'lr': 0.5},45475,8.786086322429989e-17
AdaGrad,1,2,{'lr': 0.5},44198,1.1261329303015665e-16
AdaGrad,1,3,{'lr': 0.5},69760,1.246803051296582e-16
AdaGrad,1,4,{'lr': 0.5},46775,8.757798251827451e-17
AdaGrad,1,5,{'lr': 0.5},100000,3.4699821804500163e-06
AdaGrad,2,0,{'lr': 1.0},100000,9.587088265377727e-15
AdaGrad,2,1,{'lr': 1.0},38454,1.0544941738269938e-16
AdaGrad,2,2,{'lr': 1.0},40934,9.464506663790546e-17
AdaGrad,2,3,{'lr': 1.0},47253,1.0527512447498023e-16
AdaGrad,2,4,{'lr': 1.0},40374,1.051987499838736e-16
AdaGrad,2,5,{'lr': 1.0},100000,2.5276359038593073e-14
RMSProp,0,0,"{'lr': 0.05, 'rho': 0.8}",100000,0.46562499947565605
RMSProp,0,1,"{'lr': 0.05, 'rho': 0.8}",100000,0.46562499947565605
RMSProp,0,2,"{'lr': 0.05, 'rho': 0.8}",100000,0.46562499947565605
RMSProp,0,3,"{'lr': 0.05, 'rho': 0.8}",100000,0.43562499952434514
RMSProp,0,4,"{'lr': 0.05, 'rho': 0.8}",100000,0.4656249994756553
RMSProp,0,5,"{'lr': 0.05, 'rho': 0.8}",100000,0.4656249994756553
RMSProp,1,0,"{'lr': 0.1, 'rho': 0.9}",100000,1.0524999991811406
RMSProp,1,1,"{'lr': 0.1, 'rho': 0.9}",100000,1.0524999991811406
RMSProp,1,2,"{'lr': 0.1, 'rho': 0.9}",100000,1.0524999991811406
RMSProp,1,3,"{'lr': 0.1, 'rho': 0.9}",100000,1.0524999991811403
RMSProp,1,4,"{'lr': 0.1, 'rho': 0.9}",100000,1.0524999991811403
RMSProp,1,5,"{'lr': 0.1, 'rho': 0.9}",100000,1.2024999988188592
RMSProp,2,0,"{'lr': 0.3, 'rho': 0.99}",100000,3.1320790122254225
RMSProp,2,1,"{'lr': 0.3, 'rho': 0.99}",100000,4.519861500631884
RMSProp,2,2,"{'lr': 0.3, 'rho': 0.99}",100000,2.939507836784488
RMSProp,2,3,"{'lr': 0.3, 'rho': 0.99}",100000,0.0010311893999317557
RMSProp,2,4,"{'lr': 0.3, 'rho': 0.99}",100000,3.279402625460443
RMSProp,2,5,"{'lr': 0.3, 'rho': 0.99}",100000,0.02008928762428204
AdaDelta,0,0,{'rho': 0.9},100000,1.354909520606911
AdaDelta,0,1,{'rho': 0.9},100000,1.2408483436800346
